Time,X,Y
2.745833333333333570e+01,2.716476440429687500e+02,2.998369445800781250e+02
2.750000000000000000e+01,6.536289062500000000e+02,1.122482543945312500e+03
2.754166666666666785e+01,3.152696838378906250e+02,3.154891357421875000e+02
2.758333333333333570e+01,3.332173156738281250e+02,2.899274902343750000e+02
2.762500000000000000e+01,3.179887084960937500e+02,3.155790710449218750e+02
2.766666666666666785e+01,3.386727905273437500e+02,3.167865600585937500e+02
2.770833333333333570e+01,3.394525146484375000e+02,3.164574584960937500e+02
2.775000000000000000e+01,3.394137573242187500e+02,3.177623901367187500e+02
2.779166666666666785e+01,3.502053527832031250e+02,2.930489196777343750e+02
2.783333333333333570e+01,3.519901123046875000e+02,2.947456970214843750e+02
2.787500000000000000e+01,3.395435791015625000e+02,3.198357238769531250e+02
2.791666666666666785e+01,3.490551452636718750e+02,2.906590270996093750e+02
2.795833333333333570e+01,3.392221984863281250e+02,3.222488708496093750e+02
2.800000000000000000e+01,3.329234924316406250e+02,2.926474914550781250e+02
2.804166666666666785e+01,3.327983398437500000e+02,2.922644348144531250e+02
2.808333333333333570e+01,6.526409912109375000e+02,1.123778930664062500e+03
2.812500000000000000e+01,6.523675537109375000e+02,1.124027343750000000e+03
2.816666666666666785e+01,2.707379760742187500e+02,3.018815307617187500e+02
2.820833333333333570e+01,4.070326538085937500e+02,1.119989990234375000e+03
2.825000000000000000e+01,2.755813598632812500e+02,3.037360229492187500e+02
2.829166666666666785e+01,2.799921569824218750e+02,3.032127685546875000e+02
2.833333333333333570e+01,2.745677795410156250e+02,3.020305786132812500e+02
2.837500000000000000e+01,3.327903442382812500e+02,2.925885620117187500e+02
2.841666666666666785e+01,3.348308715820312500e+02,2.936012268066406250e+02
2.845833333333333570e+01,3.390587768554687500e+02,3.246960449218750000e+02
2.850000000000000000e+01,3.395347595214843750e+02,3.260805664062500000e+02
2.854166666666666785e+01,3.400926818847656250e+02,3.274533691406250000e+02
2.858333333333333570e+01,3.513547973632812500e+02,2.939122619628906250e+02
2.862500000000000000e+01,3.528066101074218750e+02,2.929981079101562500e+02
2.866666666666666785e+01,3.512014465332031250e+02,2.893081359863281250e+02
2.870833333333333570e+01,3.343934936523437500e+02,2.941867370605468750e+02
2.875000000000000000e+01,3.323383789062500000e+02,3.284523315429687500e+02
2.879166666666666785e+01,3.214880981445312500e+02,3.285723876953125000e+02
2.883333333333333570e+01,3.281785583496093750e+02,2.939602050781250000e+02
2.887500000000000000e+01,3.217325439453125000e+02,3.287301635742187500e+02
2.891666666666666785e+01,2.789323425292968750e+02,3.043545532226562500e+02
2.895833333333333570e+01,2.731449279785156250e+02,3.031324157714843750e+02
2.900000000000000000e+01,2.793790588378906250e+02,3.048742065429687500e+02
2.904166666666666785e+01,2.742398071289062500e+02,3.039224853515625000e+02
2.908333333333333570e+01,3.226423034667968750e+02,3.294641723632812500e+02
2.912500000000000000e+01,3.223377990722656250e+02,3.290455017089843750e+02
2.916666666666666785e+01,3.337513427734375000e+02,3.289612731933593750e+02
2.920833333333333570e+01,3.331974487304687500e+02,3.307128601074218750e+02
2.925000000000000000e+01,3.325859375000000000e+02,2.931753845214843750e+02
2.929166666666666785e+01,3.473209228515625000e+02,2.893291625976562500e+02
2.933333333333333570e+01,3.529317626953125000e+02,2.927589416503906250e+02
2.937500000000000000e+01,3.503350524902343750e+02,2.925944213867187500e+02
2.941666666666666785e+01,3.488096008300781250e+02,2.923752746582031250e+02
2.945833333333333570e+01,3.447037658691406250e+02,2.873722534179687500e+02
